,paperID,authorName
638,187,"Barnes, Jeffrey M"
639,187," Schmerl, Bradley"
640,187,"Celiku, Orieta"
641,188,"L pez Jaquero, Victor"
642,188,"Montero, Francisco"
643,188,"Navarro, Elena"
644,188,"Esparcia, Antonio"
645,188,"Catal n, Jos"
646,188,Antonio
647,189,"L pez Jaquero, Victor"
648,189,"Montero, Francisco"
649,189,"Navarro, Elena"
650,189,"Esparcia, Antonio"
651,189,"Catal n, Jos"
652,189,Antonio
653,190,"Huang, Luan"
654,190,"Chew, Kar Ann"
655,190,"Tafazolli, Rahim"
656,191,Luan Huang
657,191,"Chew, K A"
658,191," Tafazolli, R"
659,192,"Surajbali, Bholanathsingh"
660,192,"Grace, Paul"
661,192,"Coulson, Geoff"
662,193,"Surajbali, B"
663,193," Grace, P"
664,193," Coulson, G"
665,194,"Van Deursen, Arie"
666,194,"Hofmeister, Christine"
667,194,"Koschke, Rainer"
668,194,"Moonen, Leon"
669,194,"Riva, Claudio"
670,195,"van Deursen, A"
671,195," Hofmeister, C"
672,195," Koschke, R"
673,195," Moonen, L"
674,195," Riva, C"
675,196,"Papazoglou, Michael P"
676,197,"Papazoglou, Michael P"
677,198,"Krupaviciute, Asta"
678,198,"Fayn, Jocelyne"
679,199,"Blasi, Lorenzo"
680,199,"Savola, Reijo"
681,199,"Abie, Habtam"
682,199,"Rotondi, Domenico"
683,200,Lai Xin
684,200,He Da ke
685,200,Huang Xiao fang
686,201,"Masson, R"
687,201," Loup, B"
688,201," Bultelle, F"
689,201," Siah, A"
690,201," Leboulenger, F"
691,201," Danger, J M"
692,202,"Masson, R"
693,202," Loup, B"
694,202," Bultelle, F"
695,202," Siah, A"
696,202," Leboulenger, F"
697,202," Danger, J M"
698,203,"Waignier, Guillaume"
699,203,"Le Meur, Anne Fran oise"
700,203,"Duchien, Laurence"
701,204,"Waignier, G"
702,204," Le Meur, A"
703,204," Duchien, L"
704,205,"De Silva, Lakshitha"
705,205,"Balasubramaniam, Dharini"
706,206,"Pai, Nai S"
707,206,"Chang, Po Sheng"
708,206,"Yen, Shiow Kang"
709,207,"Cuesta, Carlos E"
710,207," Mart nez Prieto, Miguel A"
711,207," Fern ndez, Javier D"
712,208,"Begoli, Edmon"
713,208,"Horey, James"
714,209,"Begoli, Edmon"
715,209,"Horey, James"
716,210,"Dom nguez Crespo, M A"
717,210," Ram rez Meneses, E"
718,210," Torres Huerta, A M"
719,210," Garibay Febles, V"
720,210," Philippot, K"
721,211,"Rytter, Martin"
722,211,"Jrgensen, Bo Nrregaard"
723,212,"Waignier, Guillaume"
724,212,"Le Meur, Anne Fran oise"
725,212,"Duchien, Laurence"
726,213,"Gorton, Ian"
727,213,"Wynne, Adam"
728,213,"Almquist, Justin"
729,213,"Chatterton, Jack"
730,214,"Eklund, Ulrik"
731,214,"Bosch, Jan"
732,215,"Eklund, Ulrik"
733,215,"Bosch, Jan"
734,216,"Vasar, Martti"
735,216,"Srirama, Satish Narayana"
736,216,"Dumas, Marlon"
737,217,"Vasar, Martti"
738,217,"Srirama, Satish Narayana"
739,217,"Dumas, Marlon"
740,218,"Oliveira, Crist v o"
741,218," Wermelinger, Michel"
742,218,"Fiadeiro, Jos"
743,218,Luiz
744,218,"Lopes, Ant nia"
745,219,"Orlic, Bojan"
746,219,"Mak, Rudolf"
747,219,"David, Ionut"
748,219,"Lukkien, Johan"
749,220,"Ramanathan, Mayandi"
750,220,"Ramani, Vijay"
751,220,"Prakash, Jai"
752,221,"Tang, Qiwen"
753,221," Jiang, Luhua"
754,221," Jiang, Qian"
755,221," Wang, Suli"
756,221," Sun, Gongquan"
757,222,"Tang, Yongf"
758,222,"Gao, Faming"
759,222,"Yu, Shengxue"
760,222,"Li, Zhiping"
761,222,"Zhao, Yufeng"
762,223,"Kaneko, K"
763,223," Tsushima, S"
764,223," Hirai, S"
765,224,"D az, Jessica"
766,224,"P rez, Jennifer"
767,224,"Garbajosa, Juan"
768,224,"Wolf, Alexander L"
769,225,"Booch, Grady"
770,226,"Wallom, David"
771,226,"Turilli, Matteo"
772,226,"Martin, Andrew"
773,226,"Raun, Anbang"
774,226,"Taylor, Gareth"
775,226,"Hargreaves, Nigel"
776,226,"McMoran, Alan"
777,227,"Wallom, David"
778,227,"Turilli, Matteo"
779,227,"Martin, Andrew"
780,227,"Raun, Anbang"
781,227,"Taylor, Gareth"
782,227,"Hargreaves, Nigel"
783,227,"McMoran, Alan"
784,228,"Phaphoom, Nattakarn"
785,228,"Oza, Nilay"
786,228,"Wang, Xiaofeng"
787,228,"Abrahamsson, Pekka"
788,229,"Phaphoom, Nattakarn"
789,229,"Oza, Nilay"
790,229,"Wang, Xiaofeng"
791,229,"Abrahamsson, Pekka"
792,230,"Khomh, Foutse"
793,231,"Chauhan, Muhammad Aufeef"
794,231,"Babar, Muhammad Ali"
795,232,"Chauhan, Muhammad Aufeef"
796,232,"Babar, Muhammad Ali"
797,233,"Tang, Longji"
798,233,"Dong, Jing"
799,233,"Zhao, Yajing"
800,233,"Zhang, Liang Jie"
801,234,"St rrle, Harald"
802,235,"Eloranta, Veli Pekka"
803,235,"Koskimies, Kai"
804,236,"Eloranta, Veli Pekka"
805,236,"Koskimies, Kai"
806,237,"Oliveira, C"
807,237," Wermelinger, M"
808,237," Fiadeiro, J L"
809,237," Lopes, A"
810,238,"Weinreich, Rainer"
811,238,"Buchgeher, Georg"
812,239,"G bel, Steffen"
813,239,"Pohl, Christoph"
814,239,"Aigner, Ronald"
815,239,"Pohlack, Martin"
816,239,"R ttger, Simone"
817,239,"Zschaler, Steffen"
818,240,"Gobel, S"
819,240," Aigner, R"
820,240," Pohl, C"
821,240," Pohlack, M"
822,240," Rottger, S"
823,240," Zschaler, S"
824,241,"Astudillo, H"
825,241," Pereira, J"
826,241," Lopez, C"
827,242,"Astudillo, Hern n"
828,242,"Pereira, Javier"
829,242,"L pez, Claudia"
830,243,"Petcu, Dana"
831,243,"Sandru, Calin"
832,244,"Petcu, Dana"
833,244,"Sandru, Calin"
834,245,"Kuz, Ihor"
835,245,"Liu, Yan"
836,246,"Kuz, I"
837,246, Yan Li
838,247,"Dimov, A"
839,247," Punnekkat, S"
840,248,"Lesaint, D"
841,248," Papamargaritis, G"
842,249,"Lesaint, David"
843,249,"Papamargaritis, George"
844,250,"Wieczorek, Sebastian"
845,250,"Roth, Andreas"
846,250,"Stefanescu, Alin"
847,250,"Kozyura, Vitaly"
848,250,"Charfi, Anis"
849,250,"Kraft, Frank Michael"
850,250,"Schieferdecker, Ina"
851,251,"Wieczorek, Sebastian"
852,251,"Roth, Andreas"
853,251,"Stefanescu, Alin"
854,251,"Kozyura, Vitaly"
855,251,"Charfi, Anis"
856,251,"Kraft, Frank Michael"
857,251,"Schieferdecker, Ina"
858,252,"Wieczorek, Sebastian"
859,252,"Roth, Andreas"
860,252,"Stefanescu, Alin"
861,252,"Kozyura, Vitaly"
862,252,"Charfi, Anis"
